goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/0-4 	1000000000	         2.06 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.02 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.03 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.02 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.04 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.03 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.03 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.02 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.02 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.01 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.01 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.02 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.02 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.02 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.13 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.02 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.02 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.07 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.06 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	1000000000	         2.05 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4 	20000000	        73.4 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        73.0 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        73.5 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        72.6 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        72.8 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        74.7 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        71.3 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        73.4 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        72.3 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        73.1 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        73.2 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        72.8 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        71.2 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        70.8 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        73.5 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        73.2 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        72.2 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        72.6 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        73.2 ns/op	      48 B/op	       2 allocs/op
Benchmark/1-4 	20000000	        72.2 ns/op	      48 B/op	       2 allocs/op
Benchmark/10-4         	 3000000	       565 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       561 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       568 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       566 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       569 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       595 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 2000000	       588 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       567 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       562 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       571 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       567 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       566 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       566 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       550 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       550 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       554 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       560 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       563 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       559 ns/op	     440 B/op	      17 allocs/op
Benchmark/10-4         	 3000000	       564 ns/op	     440 B/op	      17 allocs/op
Benchmark/100-4        	  500000	      3166 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3154 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3172 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3162 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3166 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3155 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3150 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3177 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3187 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3167 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3164 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3156 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3162 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3170 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3157 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3157 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3152 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3161 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3155 ns/op	    3048 B/op	     113 allocs/op
Benchmark/100-4        	  500000	      3166 ns/op	    3048 B/op	     113 allocs/op
Benchmark/1000-4       	   50000	     25770 ns/op	   24808 B/op	    1027 allocs/op
Benchmark/1000-4       	   50000	     25570 ns/op	   24808 B/op	    1027 allocs/op
Benchmark/1000-4       	   50000	     25483 ns/op	   24808 B/op	    1027 allocs/op
Benchmark/1000-4       	   50000	     25633 ns/op	   24808 B/op	    1027 allocs/op
Benchmark/1000-4       	   50000	     25470 ns/op	   24808 B/op	    1027 allocs/op
Benchmark/1000-4       	   50000	     25514 ns/op	   24808 B/op	    1027 allocs/op
Benchmark/1000-4       	   50000	     25602 ns/op	   24808 B/op	    1027 allocs/op
