goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/0-4 	 5000000	       363 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       361 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       369 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       367 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       364 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       357 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       348 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       359 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       349 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       333 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       333 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       335 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       355 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       340 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       334 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       352 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       376 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       334 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       338 ns/op	    2304 B/op	       1 allocs/op
Benchmark/0-4 	 5000000	       357 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       355 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       348 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       345 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       366 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 3000000	       351 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       378 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       357 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       399 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       359 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       358 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       363 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       360 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       360 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       373 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 3000000	       384 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       349 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       347 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       345 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       355 ns/op	    2304 B/op	       1 allocs/op
Benchmark/1-4 	 5000000	       356 ns/op	    2304 B/op	       1 allocs/op
Benchmark/10-4         	 3000000	       541 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       557 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       555 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       573 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       543 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       549 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       556 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 2000000	       592 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       540 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       537 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       549 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       560 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       543 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       555 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       565 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       565 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       561 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       538 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       553 ns/op	    2376 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       541 ns/op	    2376 B/op	      10 allocs/op
Benchmark/100-4        	 1000000	      2306 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2275 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2241 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2246 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2251 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2326 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2331 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2287 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2327 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2311 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2426 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2460 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2380 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2318 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2305 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2304 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2285 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2317 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2251 ns/op	    3096 B/op	     100 allocs/op
Benchmark/100-4        	 1000000	      2282 ns/op	    3096 B/op	     100 allocs/op
Benchmark/1000-4       	  100000	     21549 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     21504 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     21733 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     21488 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     21476 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     21507 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     21460 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     22140 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     22310 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     22034 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     21891 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     22000 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     22485 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     22211 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     22172 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     21932 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     22077 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     22048 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     21589 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/1000-4       	  100000	     21543 ns/op	   26424 B/op	    1007 allocs/op
Benchmark/10000-4      	   10000	    219428 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	    5000	    223421 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    226599 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	    5000	    227778 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    227340 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    226685 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    223822 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    220292 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    228671 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    227244 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    228139 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	    5000	    228081 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    242116 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    237407 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    225769 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    227136 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	    5000	    219751 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    231347 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    223361 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/10000-4      	   10000	    237214 ns/op	  262008 B/op	   10078 allocs/op
Benchmark/100000-4     	     500	   3114006 ns/op	 2601725 B/op	  100781 allocs/op
Benchmark/100000-4     	     500	   2966644 ns/op	 2601725 B/op	  100781 allocs/op
Benchmark/100000-4     	     500	   3397548 ns/op	 2601725 B/op	  100781 allocs/op
Benchmark/100000-4     	     500	   3088143 ns/op	 2601725 B/op	  100781 allocs/op
Benchmark/100000-4     	     500	   2871813 ns/op	 2601725 B/op	  100781 allocs/op
Benchmark/100000-4     	     500	   3040009 ns/op	 2601725 B/op	  100781 allocs/op
Benchmark/100000-4     	     500	   2781407 ns/op	 2601725 B/op	  100781 allocs/op
Benchmark/100000-4     	     500	   2817468 ns/op	 2601725 B/op	  100781 allocs/op
Benchmark/100000-4     	     500	   2817605 ns/op	 2601725 B/op	  100781 allocs/op
Benchmark/100000-4     	     500	   2806105 ns/op	 2601725 B/op	  100781 allocs/op
Benchmark/100000-4     	     500	   2855534 ns/op	 2601725 B/op	  100781 allocs/op
Benchmark/100000-4     	     500	   3194066 ns/op	 2601725 B/op	  100781 allocs/op
Benchmark/100000-4     	     500	   3050489 ns/op	 2601725 B/op	  100781 allocs/op
Benchmark/100000-4     	     500	   3041103 ns/op	 2601725 B/op	  100781 allocs/op
