goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/100-4        	  500000	      3592 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3613 ns/op	    4184 B/op	     109 allocs/op
Benchmark/100-4        	  500000	      3597 ns/op	    4184 B/op	     109 allocs/op
Benchmark/1000-4       	   50000	     31434 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31220 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31527 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31321 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31437 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31416 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31585 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31313 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31290 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31193 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31572 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31325 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31556 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31372 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31882 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31325 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31459 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31260 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31580 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/1000-4       	   50000	     31400 ns/op	   26840 B/op	    1051 allocs/op
Benchmark/10000-4      	    5000	    317580 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    315750 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    321305 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    315653 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    314776 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    315140 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    320739 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    316050 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    315379 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    315163 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    320391 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    316386 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    315569 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    317349 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    321081 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    317372 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    314081 ns/op	  253400 B/op	   10471 allocs/op
