goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/100-4        	  200000	     11571 ns/op	   66360 B/op	     101 allocs/op
Benchmark/100-4        	  200000	     11608 ns/op	   66360 B/op	     101 allocs/op
Benchmark/100-4        	  200000	     11555 ns/op	   66360 B/op	     101 allocs/op
Benchmark/1000-4       	   50000	     29375 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29465 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29276 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29278 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29349 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29660 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29745 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29724 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29787 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29730 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     30149 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29650 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29785 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29788 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29774 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29287 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29184 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29502 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29369 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/1000-4       	   50000	     29240 ns/op	   73560 B/op	    1001 allocs/op
Benchmark/10000-4      	   10000	    231851 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    231584 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    230370 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    230648 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    230651 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	    5000	    231646 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    229430 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	    5000	    233603 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    230790 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    229990 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    230092 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    231337 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    230553 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    230633 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    230041 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    230180 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    230895 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    231058 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    231286 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/10000-4      	   10000	    231287 ns/op	  276760 B/op	   10005 allocs/op
Benchmark/100000-4     	     500	   3177806 ns/op	 2446478 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3060106 ns/op	 2446479 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3022048 ns/op	 2446478 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3278715 ns/op	 2446478 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3289036 ns/op	 2446478 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3083103 ns/op	 2446478 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3159273 ns/op	 2446478 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3628836 ns/op	 2446478 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3902448 ns/op	 2446479 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3557872 ns/op	 2446478 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3145171 ns/op	 2446478 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3127308 ns/op	 2446478 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3210917 ns/op	 2446478 B/op	  100049 allocs/op
Benchmark/100000-4     	     300	   3958299 ns/op	 2446479 B/op	  100049 allocs/op
Benchmark/100000-4     	     300	   3395153 ns/op	 2446479 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3297557 ns/op	 2446479 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3067935 ns/op	 2446479 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3066301 ns/op	 2446478 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3117823 ns/op	 2446478 B/op	  100049 allocs/op
Benchmark/100000-4     	     500	   3109110 ns/op	 2446478 B/op	  100049 allocs/op
PASS
ok  	github.com/christianrpetrin/queue-tests	287.789s
