goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/100-4        	 1000000	      2497 ns/op	    2872 B/op	     101 allocs/op
Benchmark/100-4        	  500000	      2456 ns/op	    2872 B/op	     101 allocs/op
Benchmark/100-4        	  500000	      2488 ns/op	    2872 B/op	     101 allocs/op
Benchmark/1000-4       	  100000	     23102 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     23211 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     24064 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     23429 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	   50000	     23741 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     23750 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     23686 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	   50000	     23349 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     23476 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     24507 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	   50000	     24091 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     24090 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	   50000	     23709 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	   50000	     23699 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     23707 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     23640 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     23476 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     23489 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     23771 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/1000-4       	  100000	     23629 ns/op	   24632 B/op	    1015 allocs/op
Benchmark/10000-4      	   10000	    239558 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    237701 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    239239 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    237844 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    237639 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    238023 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    237344 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    237205 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    243297 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    240341 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    237979 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    238103 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	    5000	    237075 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    238397 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    237544 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    237864 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	    5000	    237323 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    237480 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    237361 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/10000-4      	   10000	    238302 ns/op	  244312 B/op	   10157 allocs/op
Benchmark/100000-4     	     500	   3711741 ns/op	 2426557 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3208366 ns/op	 2426558 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3379127 ns/op	 2426557 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3275253 ns/op	 2426557 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3117202 ns/op	 2426558 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3447153 ns/op	 2426557 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3296241 ns/op	 2426557 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   2862468 ns/op	 2426557 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3007666 ns/op	 2426557 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3298122 ns/op	 2426557 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3165451 ns/op	 2426558 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3016126 ns/op	 2426558 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3599120 ns/op	 2426558 B/op	  101563 allocs/op
Benchmark/100000-4     	     300	   3686608 ns/op	 2426558 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3149570 ns/op	 2426557 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3335787 ns/op	 2426558 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3011187 ns/op	 2426557 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3047275 ns/op	 2426557 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3307059 ns/op	 2426558 B/op	  101563 allocs/op
Benchmark/100000-4     	     500	   3496289 ns/op	 2426558 B/op	  101563 allocs/op
PASS
ok  	github.com/christianrpetrin/queue-tests	278.558s
