goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/0-4 	 3000000	       445 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       428 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       422 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       465 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       455 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       450 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       421 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       415 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       416 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       416 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       423 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       426 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       423 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       462 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       447 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       435 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       456 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       448 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       447 ns/op	    2048 B/op	       1 allocs/op
Benchmark/0-4 	 3000000	       456 ns/op	    2048 B/op	       1 allocs/op
Benchmark/1-4 	 3000000	       429 ns/op	    2048 B/op	       1 allocs/op
Benchmark/1-4 	 3000000	       451 ns/op	    2048 B/op	       1 allocs/op
Benchmark/1-4 	 3000000	       507 ns/op	    2048 B/op	       1 allocs/op
Benchmark/1-4 	 3000000	       458 ns/op	    2048 B/op	       1 allocs/op
Benchmark/1-4 	 3000000	       439 ns/op	    2048 B/op	       1 allocs/op
Benchmark/1-4 	 3000000	       470 ns/op	    2048 B/op	       1 allocs/op
Benchmark/1-4 	 3000000	       430 ns/op	    2048 B/op	       1 allocs/op
