goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/0-4 	200000000	         6.95 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.78 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.97 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.79 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.71 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.64 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.91 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.98 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         7.04 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.88 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.92 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.69 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.77 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.74 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.83 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.97 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.69 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.73 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.72 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	200000000	         6.82 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4 	30000000	        46.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        48.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        47.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        49.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        46.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        50.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        49.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        45.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        48.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        50.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        49.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        48.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4 	30000000	        49.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 3000000	       524 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       552 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       521 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       533 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       529 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       544 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       543 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       557 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       528 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       523 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       528 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       531 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       512 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       512 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       534 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       532 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       537 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       531 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       540 ns/op	     568 B/op	      14 allocs/op
Benchmark/10-4         	 3000000	       535 ns/op	     568 B/op	      14 allocs/op
Benchmark/100-4        	  500000	      3469 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3252 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3194 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3217 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3159 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3126 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3208 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3228 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3141 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3186 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3258 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3366 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3169 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3184 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3204 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3141 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3199 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3232 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3190 ns/op	    4360 B/op	     108 allocs/op
Benchmark/100-4        	  500000	      3126 ns/op	    4360 B/op	     108 allocs/op
Benchmark/1000-4       	   50000	     24294 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24303 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24362 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24301 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24315 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24221 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24219 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24324 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24641 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24829 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     25302 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24573 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24243 ns/op	   40744 B/op	    1010 allocs/op
Benchmark/1000-4       	   50000	     24624 ns/op	   40744 B/op	    1010 allocs/op
