goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/0-4 	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/10-4         	 3000000	       577 ns/op	     600 B/op	      15 allocs/op
Benchmark/10-4         	 3000000	       580 ns/op	     600 B/op	      15 allocs/op
Benchmark/10-4         	 3000000	       579 ns/op	     600 B/op	      15 allocs/op
Benchmark/10-4         	 3000000	       577 ns/op	     600 B/op	      15 allocs/op
Benchmark/10-4         	 3000000	       577 ns/op	     600 B/op	      15 allocs/op
Benchmark/10-4         	 3000000	       579 ns/op	     600 B/op	      15 allocs/op
Benchmark/10-4         	 3000000	       577 ns/op	     600 B/op	      15 allocs/op
Benchmark/10-4         	 3000000	       578 ns/op	     600 B/op	      15 allocs/op
Benchmark/10-4         	 3000000	       578 ns/op	     600 B/op	      15 allocs/op
Benchmark/10-4         	 3000000	       579 ns/op	     600 B/op	      15 allocs/op
Benchmark/10-4         	 3000000	       578 ns/op	     600 B/op	      15 allocs/op
Benchmark/10-4         	 3000000	       579 ns/op	     600 B/op	      15 allocs/op
Benchmark/10-4         	 3000000	       578 ns/op	     600 B/op	      15 allocs/op
Benchmark/100-4        	  500000	      3066 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3069 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3069 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3063 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3076 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3067 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3069 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3077 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3064 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3068 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3099 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3080 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3065 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3073 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3068 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3090 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3075 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3075 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3067 ns/op	    3400 B/op	     107 allocs/op
Benchmark/100-4        	  500000	      3073 ns/op	    3400 B/op	     107 allocs/op
Benchmark/1000-4       	   50000	     25837 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25745 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25716 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25973 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25736 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25715 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25861 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25779 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25850 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25912 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25788 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25773 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25781 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25737 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25921 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25839 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25787 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25722 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25736 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/1000-4       	   50000	     25763 ns/op	   25160 B/op	    1021 allocs/op
Benchmark/10000-4      	    5000	    262137 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    258882 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    259562 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    263035 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    259618 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    260995 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    259782 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    259216 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    261052 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    260132 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    259099 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    259909 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    259652 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    259586 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    259824 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    260491 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    258832 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    259434 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    259235 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/10000-4      	    5000	    260007 ns/op	  242760 B/op	   10161 allocs/op
Benchmark/100000-4     	     500	   3054050 ns/op	 2427085 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3127534 ns/op	 2427086 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3025958 ns/op	 2427085 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3027499 ns/op	 2427085 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3064548 ns/op	 2427086 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3026762 ns/op	 2427085 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3043387 ns/op	 2427085 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3156905 ns/op	 2427085 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3117521 ns/op	 2427085 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3045140 ns/op	 2427086 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3120040 ns/op	 2427085 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3026169 ns/op	 2427086 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3028683 ns/op	 2427086 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3138030 ns/op	 2427085 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3120339 ns/op	 2427086 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3019038 ns/op	 2427085 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3048257 ns/op	 2427086 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3042072 ns/op	 2427086 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3041674 ns/op	 2427085 B/op	  101569 allocs/op
Benchmark/100000-4     	     500	   3107612 ns/op	 2427085 B/op	  101569 allocs/op
PASS
ok  	github.com/christianrpetrin/queue-tests	250.388s
